Property Name,ZIP Code,Chicago Energy Rating,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,Water Use (kGal),ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft)
Mansueto Library,60637,2,HYDE PARK,Library,64028,2009,1,,,2384738.9,,7438787,5594040.1,240.8,323.6,246,329.9,1160.9,18.1
Harper Square Cooperative,60615,1,KENWOOD,Multifamily Housing,627680,1974,1,,22,16397682.8,43537490.6,,,95.5,146,100.3,150.7,4871.7,7.8
Former Coyne College,60607,2,NEAR WEST SIDE,Office,555524,2019,1,,49,28606427.7,2199940.1,,,55.5,148.3,56.7,151.8,4581.4,8.2
400 W Superior St,60654,3,NEAR NORTH SIDE,Office,130007,1998,1,,61,6489281.3,1493523.2,,,61.4,151.8,63,154.8,1092.1,8.4
Blue Moon Lofts,60607,4,NEAR WEST SIDE,Multifamily Housing,83000,1908,1,,100,1614582.3,825006.6,,,29.4,64.9,29.6,64.3,295.8,3.6
"Ambulatory Care Center, St. Bernard Hospital",60621,2.5,Englewood,Medical Office,98018,2016,1,,59,4204723.5,2236782.3,,,96.7,211.9,98,212.8,775,11.6
Children's Memorial Hospital sub-building,60614,0,LINCOLN PARK,,257400,,,,,,,,,,,,,,
,60611,,NEAR NORTH SIDE,Mixed Use Property,2731896,1989,1,,,123364979.3,29220664.4,,,71.4,176,74.5,184,20805.5,9.7
Hilliard Homes Limited Partnership (Senior),60616,3.5,NEAR SOUTH SIDE,Multifamily Housing,311326,1966,2,,75,4993793,15777294.8,,,80.1,117.8,82.9,120.3,1617.4,6.2
901 South Plymouth Condominium Association,60605,3.5,Loop,Multifamily Housing,199600,1979,1,,58,5821462.7,4643106.7,,,64.7,131,68.7,139.8,1155.2,7.1
Chalet Living and Rehab,60626,1,ROGERS PARK,Senior Living Community,77004,1976,1,,7,3786934.1,11175808,,,223.3,333.4,238,347.3,1184.6,17.7
Gage Park,60632,2,GAGE PARK,Other - Recreation,64960,1926,1,,,847144,6955745.2,,,132.3,164.1,142.2,174.5,501.7,8.5
,60625,2.5,North Center,Multifamily Housing,53800,2006,1,,51,2985049.6,5693982,,,78.2,129.2,81.2,133.1,768.3,6.9
"Thorp Scholastic Academy, Ole A -CPS",60634,4,DUNNING,K-12 School,93200,1918,1,,61,1246831.5,5832379.9,,,76,103.2,86.5,114.3,504.4,5.4
River East Center Campus,60611,1,NEAR NORTH SIDE,Mixed Use Property,1975361,2001,1,,20,64410587.3,102156516.4,,,110.2,190.3,111.5,191.4,15478.5,10.2
,60622,4,WEST TOWN,Multifamily Housing,112734,2013,1,,81,2292017.8,4175204.4,,,59.4,99.2,59.8,100.2,579.5,5.3
500 W Monroe,60661,1,NEAR WEST SIDE,Office,1554884,1992,1,,29,98139027.4,,,,85.5,239.3,92.1,257.8,15316.5,13.3
,60640,4,UPTOWN,Multifamily Housing,50986,1916,1,,75,417741.4,3243596.1,,,71.8,89.7,76.5,94.7,237.5,4.7
Lloyd Elementary -CPS,60639,2.5,BELMONT CRAGIN,K-12 School,150436,1907,1,,32,4506708.5,7731610.1,,,81.4,137.8,88,144.8,1114,7.4
,60657,3,LAKE VIEW,Multifamily Housing,56880,1928,1,,47,652896.4,4629361.5,,,92.9,117.6,103.1,127.7,347.8,6.1
,60657,3,LAKE VIEW,Multifamily Housing,155144,1968,1,,67,2550176.6,7203545.7,,,73.6,111,77.6,115.2,780.6,5.9
Michael A. Bilandic Building,60601,4,LOOP,Office,464498,1920,1,,79,13045901.7,12600101.5,,,55.2,107.1,57.7,109.8,2705.3,5.8
"Fifth Praire Shores, LLC",60616,1,DOUGLAS,Multifamily Housing,289267,1960,1,,21,4709257.4,32647070.7,,,129.1,164.1,137.5,172.9,2469,8.5
NEMA Chicago,60605,3.5,Near South Side,Multifamily Housing,1343820,2019,1,,60,32621765.2,38781158.3,,,64.3,118.9,65.2,117.8,7151.1,6.4
Clybourn1200,60610,2,Near North Side,Multifamily Housing,159968,2017,1,,50,3595190,6327708.9,,,75.4,126.9,77.9,130.5,897.2,6.8
"Rudolph, Wilma Elementary Learning Center/ Hope Institute -CPS",60612,4,NEAR WEST SIDE,K-12 School,263250,1928,1,,79,4772375,7730980.2,,,47.5,81.6,49.4,83.6,1155.5,4.4
McGowan South,60614,1,LINCOLN PARK,College/University,127900,2008,1,,,9262579.9,12478551.7,,,170,305.2,175.1,309.5,2108.4,16.5
,60661,2,NEAR WEST SIDE,Multifamily Housing,178336,1924,1,,43,5499154.7,7444594.3,,,72.6,130.2,74.9,132.2,1253.7,7
Residences at the VIC,60657,4,Lake View,Multifamily Housing,148500,2007,1,,100,1555012.2,2847150,,,37.4,62.4,38.8,64.1,393.9,3.3
Holy Cross Hospial,60629,4,CHICAGO LAWN,Hospital (General Medical & Surgical),409910,1911,1,,76,5050093.6,130271002.2,,,330.1,368.2,,,7707.5,18.8
LaSalle Terrace Condominium Association,60610,2.5,NEAR NORTH SIDE,Multifamily Housing,166700,1976,1,,36,4079885.6,8584849.7,,,83.9,135.3,87.4,138.8,1092.7,7.2
Lakeside Lofts,60616,4,NEAR SOUTH SIDE,Multifamily Housing,101333,2006,1,,89,1761482.5,5144159.1,,,68.1,102,70.5,104.1,548.1,5.4
Smyser -CPS,60634,4,PORTAGE PARK,K-12 School,78111,1932,1,,64,1313825.7,3965590.1,,,67.6,100.4,75.7,109.6,415.7,5.3
,60643,1.5,WASHINGTON HEIGHTS,Senior Living Community,65505,2001,1,,36,1807114.6,4835400,,,101.4,154.8,105.1,157.9,538.9,8.2
Fairbanks at Cityfront Plaza,60611,4,NEAR NORTH SIDE,Multifamily Housing,819946,2006,1,,70,18128454.4,42229277.5,,,102,160.6,104.8,163.9,5072.3,8.6
Hall Plaza,60639,0,HERMOSA,,53267,,,,,,,,,,,,,,
,60613,0,LAKE VIEW,,96636,,,,,,,,,,,,,,
DANK Haus German American Cultural Center,60625,,LINCOLN SQUARE,Mixed Use Property,61042,1927,1,,,556057,3000126.4,,,58.3,77.1,63.5,82.7,246.1,4
,60640,2,UPTOWN,Multifamily Housing,189225,1967,1,,48,2974779.6,13988381.3,,,103.4,140.3,109,146.2,1207.3,7.4
St. Demetrios Greek Orthodox Church,60625,4,LINCOLN SQUARE,Worship Facility,68141,1924,1,,67,400830.8,1780584.4,,,34.5,47.4,41,54.1,157.1,2.5
Englewood Academy HS -CPS,60621,2,ENGLEWOOD,K-12 School,188800,1979,1,,21,7213052,12271600.2,,,103.2,175.2,107.5,179.8,1777.5,9.4
Carmen Marine Tenant Chicago Il,60640,0,UPTOWN,,397000,,,,,,,,,,,,,,
Inland Steel Building,60603,3,LOOP,Office,311003,1958,1,,63,8659372.7,19525200.4,,,93.6,148.7,98.4,153.7,2388.5,7.9
,60640,2.5,EDGEWATER,Multifamily Housing,200000,1920,1,,57,2734994.3,16121333,,,94.3,122.9,99.8,128.7,1283.1,6.4
